Category	Gene
NS1 Mediated Effects on Host Pathways	CPSF4
NS1 Mediated Effects on Host Pathways	EIF2AK2
NS1 Mediated Effects on Host Pathways	NS
NS1 Mediated Effects on Host Pathways	PABPN1
2-LTR circle formation	BANF1
2-LTR circle formation	HMGA1
2-LTR circle formation	LIG4
2-LTR circle formation	PSIP1
2-LTR circle formation	XRCC4
2-LTR circle formation	XRCC5
2-LTR circle formation	XRCC6
2-LTR circle formation	gag
2-LTR circle formation	gag-pol
2-LTR circle formation	rev
2-LTR circle formation	vif
2-LTR circle formation	vpr
2-LTR circle formation	vpu
3-UTR-mediated translational regulation	EIF1AX
3-UTR-mediated translational regulation	EIF2S1
3-UTR-mediated translational regulation	EIF2S2
3-UTR-mediated translational regulation	EIF2S3
3-UTR-mediated translational regulation	EIF3A
3-UTR-mediated translational regulation	EIF3B
3-UTR-mediated translational regulation	EIF3C
3-UTR-mediated translational regulation	EIF3D
3-UTR-mediated translational regulation	EIF3E
3-UTR-mediated translational regulation	EIF3F
3-UTR-mediated translational regulation	EIF3G
3-UTR-mediated translational regulation	EIF3H
3-UTR-mediated translational regulation	EIF3I
3-UTR-mediated translational regulation	EIF3J
3-UTR-mediated translational regulation	EIF3K
3-UTR-mediated translational regulation	EIF4A1
3-UTR-mediated translational regulation	EIF4A2
3-UTR-mediated translational regulation	EIF4B
3-UTR-mediated translational regulation	EIF4E
3-UTR-mediated translational regulation	EIF4G1
3-UTR-mediated translational regulation	EIF4H
3-UTR-mediated translational regulation	FAU
3-UTR-mediated translational regulation	PABPC1
3-UTR-mediated translational regulation	RPL10
3-UTR-mediated translational regulation	RPL10A
3-UTR-mediated translational regulation	RPL11
3-UTR-mediated translational regulation	RPL12
3-UTR-mediated translational regulation	RPL13
3-UTR-mediated translational regulation	RPL13A
3-UTR-mediated translational regulation	RPL14
3-UTR-mediated translational regulation	RPL15
3-UTR-mediated translational regulation	RPL17
3-UTR-mediated translational regulation	RPL18
3-UTR-mediated translational regulation	RPL18A
3-UTR-mediated translational regulation	RPL19
3-UTR-mediated translational regulation	RPL21
3-UTR-mediated translational regulation	RPL22
3-UTR-mediated translational regulation	RPL23
3-UTR-mediated translational regulation	RPL23A
3-UTR-mediated translational regulation	RPL24
3-UTR-mediated translational regulation	RPL26
3-UTR-mediated translational regulation	RPL26L1
3-UTR-mediated translational regulation	RPL27
3-UTR-mediated translational regulation	RPL27A
3-UTR-mediated translational regulation	RPL28
3-UTR-mediated translational regulation	RPL29
3-UTR-mediated translational regulation	RPL3
3-UTR-mediated translational regulation	RPL30
3-UTR-mediated translational regulation	RPL31
3-UTR-mediated translational regulation	RPL32
3-UTR-mediated translational regulation	RPL34
3-UTR-mediated translational regulation	RPL35
3-UTR-mediated translational regulation	RPL35A
3-UTR-mediated translational regulation	RPL36
5-Phosphoribose 1-diphosphate biosynthesis	PRPS1
5-Phosphoribose 1-diphosphate biosynthesis	PRPS1L1
5-Phosphoribose 1-diphosphate biosynthesis	PRPS2
A third proteolytic cleavage releases NICD	APH1A
A third proteolytic cleavage releases NICD	APH1B
A third proteolytic cleavage releases NICD	NCSTN
A third proteolytic cleavage releases NICD	NOTCH1
A third proteolytic cleavage releases NICD	NOTCH2
A third proteolytic cleavage releases NICD	NOTCH3
A third proteolytic cleavage releases NICD	NOTCH4
A third proteolytic cleavage releases NICD	PSEN1
A third proteolytic cleavage releases NICD	PSEN2
A third proteolytic cleavage releases NICD	PSENEN
ABC-family proteins mediated transport	ABCA10
ABC-family proteins mediated transport	ABCA12
ABC-family proteins mediated transport	ABCA2
ABC-family proteins mediated transport	ABCA3
ABC-family proteins mediated transport	ABCA4
ABC-family proteins mediated transport	ABCA6
ABC-family proteins mediated transport	ABCA7
ABC-family proteins mediated transport	ABCA8
ABC-family proteins mediated transport	ABCA9
ABC-family proteins mediated transport	ABCB1
ABC-family proteins mediated transport	ABCB10
ABC-family proteins mediated transport	ABCB5
ABC-family proteins mediated transport	ABCB6
ABC-family proteins mediated transport	ABCB7
ABC-family proteins mediated transport	ABCB8
ABC-family proteins mediated transport	ABCC1
ABC-family proteins mediated transport	ABCC10
ABC-family proteins mediated transport	ABCC11
ABC-family proteins mediated transport	ABCC2
ABC-family proteins mediated transport	ABCC3
ABC-family proteins mediated transport	ABCC4
ABC-family proteins mediated transport	ABCC5
ABC-family proteins mediated transport	ABCC6
ABC-family proteins mediated transport	ABCC8
ABC-family proteins mediated transport	ABCC9
ABC-family proteins mediated transport	ABCD1
ABC-family proteins mediated transport	ABCD2
ABC-family proteins mediated transport	ABCD3
ABC-family proteins mediated transport	ABCG1
ABC-family proteins mediated transport	ABCG4
ABC-family proteins mediated transport	ABCG5
ABC-family proteins mediated transport	ABCG8
ABC-family proteins mediated transport	APOA1
ABC-family proteins mediated transport	CFTR
ABC-family proteins mediated transport	PEX19
ABC-family proteins mediated transport	PEX3
ABCA transporters in lipid homeostasis	ABCA10
ABCA transporters in lipid homeostasis	ABCA12
ABCA transporters in lipid homeostasis	ABCA2
ABCA transporters in lipid homeostasis	ABCA3
ABCA transporters in lipid homeostasis	ABCA6
ABCA transporters in lipid homeostasis	ABCA7
ABCA transporters in lipid homeostasis	ABCA9
ABCA transporters in lipid homeostasis	ABCD1
ABCA transporters in lipid homeostasis	ABCD2
ABCA transporters in lipid homeostasis	ABCD3
ABCA transporters in lipid homeostasis	ABCG1
ABCA transporters in lipid homeostasis	ABCG4
ABCA transporters in lipid homeostasis	ABCG5
ABCA transporters in lipid homeostasis	ABCG8
ABCA transporters in lipid homeostasis	APOA1
ABCA transporters in lipid homeostasis	PEX19
ABCA transporters in lipid homeostasis	PEX3
ABH2 mediated Reversal of Alkylation Damage	ALKBH2
ABH3 mediated Reversal of Alkylation Damage	ALKBH3
ADP signalling through P2Y purinoceptor 1	GNA11
ADP signalling through P2Y purinoceptor 1	GNA14
ADP signalling through P2Y purinoceptor 1	GNA15
ADP signalling through P2Y purinoceptor 1	GNAQ
ADP signalling through P2Y purinoceptor 1	GNB1
ADP signalling through P2Y purinoceptor 1	GNB2
ADP signalling through P2Y purinoceptor 1	GNB3
ADP signalling through P2Y purinoceptor 1	GNB4
ADP signalling through P2Y purinoceptor 1	GNB5
